_id,window_size,percent_overlap,window_type,scaling,mode,resample_method,target_sr,feature_type,gabor_nscales,gabor_norientations,results[0],results[1],results[2],results[3],results[4],results[5],results[6],results[7],results[8],results[9],results[10]
682afcf87de9af40cbba2491,1024,70,blackmanharris,spectrum,psd,librosa,22050,gabor,3,4,1,0.9234513824519732,0.8316899965414579,0.7751868820069238,0.734519293519768,0.6947140863720287,0.6579551846225203,0.5870777492026019,0.5204994948943725,0.4417698982363451,0.35156171675457953
682afd04513ce236f9dc2230,1024,90,hann,density,magnitude,polyphase,22050,gabor,3,4,1,0.8864955062330123,0.8417258612121444,0.8244044561858012,0.8029520038059808,0.7773196229164092,0.7532876172228155,0.7240064898436451,0.6718186051380198,0.5743275157170167,0.35290761315610014
682afd04862bd1a1869afa0c,2048,70,blackmanharris,density,psd,polyphase,22050,gabor,3,4,0.9954128440366973,0.8553056458487672,0.7692366870822309,0.7089898799218817,0.682923998019172,0.6669328800353972,0.6401113596547766,0.5808553172476848,0.5163478460951976,0.3425472359762292,0.2653779490480237
682afd110c40404bffd2b240,512,70,blackmanharris,spectrum,psd,polyphase,22050,gabor,3,4,1,0.8641263070587677,0.8036450971861101,0.7264614036084405,0.6966044520253563,0.6537233980645125,0.611329224752702,0.5642148546513072,0.46710152613887296,0.3768614298291587,0.24789001362801172
682afd2054d0c0fe0b041681,512,80,blackman,spectrum,psd,librosa,22050,gabor,3,4,1,0.8529224842865979,0.7988493919213466,0.7413762034296151,0.7003607906662769,0.6697717216891702,0.6350707748794335,0.5863341800834025,0.5336911620631358,0.41476819659178094,0.24575213911987878
682afd287de9af40cbba2493,1024,70,blackmanharris,spectrum,psd,polyphase,22050,gabor,3,4,1,0.9234513824519732,0.8316899965414579,0.7751868820069238,0.734519293519768,0.6947140863720287,0.6579551846225203,0.5870777492026019,0.5204994948943725,0.4417698982363451,0.35156171675457953
682afd2a86f3e652a6710462,2048,80,blackman,density,psd,librosa,22050,gabor,3,4,0.9954128440366973,0.9132691285362132,0.8403160341523122,0.8058066408369633,0.7717422507873402,0.7394421141655682,0.7028608477118882,0.6475405741474747,0.5873956852657539,0.5422890111651906,0.41225157420105446
682afd372192a474061498ae,1024,80,blackman,density,magnitude,none,22050,gabor,3,4,1,0.8508148269130943,0.7858742806897712,0.7449905305902311,0.7172158660648689,0.6654411511103631,0.634010128573376,0.5919480965502639,0.5320628581488114,0.4190347942345277,0.3053781480865521
682afd4f862bd1a1869afa0e,2048,70,blackmanharris,density,magnitude,none,22050,gabor,3,4,1,0.907272691959785,0.8443961634721627,0.7951658197933558,0.7522067825873123,0.7224015404864617,0.6776051994870763,0.6259553827114037,0.5646781189553388,0.47051190794681497,0.3965998844552604
682afd570c40404bffd2b242,512,70,blackmanharris,spectrum,magnitude,none,22050,gabor,3,4,1,0.8024717146492881,0.7360558791396601,0.7118505260166742,0.6888244892703925,0.6616716738153083,0.6245162653802998,0.5781781136246037,0.5358047091953013,0.383003666488135,0.2582686185359871
682afd59f4729eb2f4b2d379,2048,90,hann,density,magnitude,polyphase,22050,gabor,3,4,0.9954128440366973,0.8506050638102581,0.7842211141734855,0.7577111202284083,0.7315974730210666,0.7160607874456597,0.6872567074839816,0.653272163852978,0.6104078567558069,0.44663319911669136,0.2934541433464555
682afd5cff92f7d181cde6dd,512,90,hann,spectrum,psd,librosa,22050,gabor,3,4,1,0.8424589472300382,0.795871286477306,0.7512577131254633,0.7092329937732474,0.6410140207652354,0.6052643119719414,0.5607977458308272,0.5156263558269856,0.3756454688830621,0.24501926705317698
682afd5e54d0c0fe0b041683,512,80,blackman,spectrum,psd,polyphase,22050,gabor,3,4,1,0.8529224842865979,0.7988493919213466,0.7413762034296151,0.7003607906662769,0.6697717216891702,0.6350707748794335,0.5863341800834025,0.5336911620631358,0.41476819659178094,0.24575213911987878
682afd6b86f3e652a6710464,2048,80,blackman,density,psd,polyphase,22050,gabor,3,4,0.9954128440366973,0.9132691285362132,0.8403160341523122,0.8058066408369633,0.7717422507873402,0.7394421141655682,0.7028608477118882,0.6475405741474747,0.5873956852657539,0.5422890111651906,0.41225157420105446
682afd6e7de9af40cbba2495,1024,70,blackmanharris,spectrum,magnitude,none,22050,gabor,3,4,1,0.8441419088844333,0.7948586295862454,0.7331839125436135,0.6982961383994976,0.6488674745120334,0.6269037025057584,0.5868943855046712,0.482021504440978,0.4074588102293816,0.3093116601204909
682afd752192a474061498b0,1024,80,blackman,density,magnitude,librosa,22050,gabor,3,4,1,0.8772853007681805,0.809313200213252,0.7849368981457346,0.7650069848592455,0.7403680964939968,0.714641134994057,0.6858153334827101,0.6468555000827731,0.4859235501509316,0.2965767138229428
682afd82862bd1a1869afa10,2048,70,blackmanharris,density,magnitude,librosa,22050,gabor,3,4,0.9954128440366973,0.8370187944959276,0.7846756931747092,0.7424141908135306,0.7280033346820378,0.7196231883547499,0.6943713511071514,0.6661270529110516,0.612755441673503,0.42357599380912747,0.34036359231920554
682afd890c40404bffd2b244,512,70,blackmanharris,spectrum,magnitude,librosa,22050,gabor,3,4,1,0.8724856978107982,0.8111195629544504,0.7544014654058552,0.7292752398783297,0.6483203322637932,0.6110610867313702,0.5887826260252408,0.4794181804474538,0.4228069449791763,0.24838720749484083
682afd9e7de9af40cbba2497,1024,70,blackmanharris,spectrum,magnitude,librosa,22050,gabor,3,4,1,0.8887433523233007,0.8242935292355505,0.8048352917562632,0.7795408682790395,0.7522506073975502,0.7217582072560594,0.6902598087823951,0.6497316468070373,0.5154218459777276,0.3632563450726029
682afdb42192a474061498b2,1024,80,blackman,density,magnitude,polyphase,22050,gabor,3,4,1,0.8772853007681805,0.809313200213252,0.7849368981457346,0.7650069848592455,0.7403680964939968,0.714641134994057,0.6858153334827101,0.6468555000827731,0.4859235501509316,0.2965767138229428
682afdb5862bd1a1869afa12,2048,70,blackmanharris,density,magnitude,polyphase,22050,gabor,3,4,0.9954128440366973,0.8370187944959276,0.7846756931747092,0.7424141908135306,0.7280033346820378,0.7196231883547499,0.6943713511071514,0.6661270529110516,0.612755441673503,0.42357599380912747,0.34036359231920554
682afdb654d0c0fe0b041685,512,80,blackman,spectrum,magnitude,none,22050,gabor,3,4,1,0.8077339306891493,0.7306209514357064,0.6931365110957121,0.6622772778111455,0.6244240914259425,0.5808428066077815,0.5410807224072639,0.500061646777874,0.36129277029402657,0.2519612100728913
682afdb9513ce236f9dc2232,1024,90,hann,spectrum,psd,none,22050,gabor,3,4,1,0.8446912921154576,0.7990012976661156,0.7550537724427865,0.7121292187626469,0.6425163906422648,0.6071227505986438,0.5627768596410376,0.5181937573082606,0.3768880230848919,0.28697750168985836
